date,weekday,temp_high,temp_low,precipitation
2021-12-31,Friday,43,33,
2021-12-30,Thursday,37,29,
2021-12-29,Wednesday,36,28,0.01
2021-12-28,Tuesday,37,30,0.38
2021-12-27,Monday,46,32,
2021-12-26,Sunday,43,26,0.69
2021-12-25,Saturday,55,32,
2021-12-24,Friday,57,34,0.03
2021-12-23,Thursday,46,27,
2021-12-22,Wednesday,31,19,
2021-12-21,Tuesday,40,23,
2021-12-20,Monday,42,30,
2021-12-19,Sunday,37,28,
2021-12-18,Saturday,40,31,0.02
2021-12-17,Friday,40,26,0.04
2021-12-16,Thursday,66,32,
2021-12-15,Wednesday,66,50,
2021-12-14,Tuesday,54,32,0.03
2021-12-13,Monday,49,33,
2021-12-12,Sunday,48,32,
2021-12-11,Saturday,58,32,
2021-12-10,Friday,60,36,0.84
2021-12-09,Thursday,46,28,
2021-12-08,Wednesday,35,25,
2021-12-07,Tuesday,26,13,
2021-12-06,Monday,38,15,
2021-12-05,Sunday,41,34,0.26
2021-12-04,Saturday,44,31,
2021-12-03,Friday,51,37,
2021-12-02,Thursday,59,44,
2021-12-01,Wednesday,49,34,
2021-11-30,Tuesday,53,34,
2021-11-29,Monday,41,27,
2021-11-28,Sunday,41,27,
2021-11-27,Saturday,42,30,
2021-11-26,Friday,31,18,
2021-11-25,Thursday,48,23,
2021-11-24,Wednesday,53,37,0.04
2021-11-23,Tuesday,43,24,
2021-11-22,Monday,36,23,
2021-11-21,Sunday,55,30,
2021-11-20,Saturday,50,36,
2021-11-19,Friday,40,26,
2021-11-18,Thursday,40,32,
2021-11-17,Wednesday,61,40,0.13
2021-11-16,Tuesday,56,30,
2021-11-15,Monday,36,30,0.01
2021-11-14,Sunday,37,33,0.01
2021-11-13,Saturday,39,33,0.03
2021-11-12,Friday,43,35,0.05
2021-11-11,Thursday,57,41,0.44
2021-11-10,Wednesday,71,38,
2021-11-09,Tuesday,58,42,
2021-11-08,Monday,65,49,
2021-11-07,Sunday,65,41,
2021-11-06,Saturday,59,36,
2021-11-05,Friday,52,34,
2021-11-04,Thursday,47,29,
2021-11-03,Wednesday,45,29,
2021-11-02,Tuesday,47,32,
2021-11-01,Monday,49,35,
2021-10-31,Sunday,53,39,
2021-10-30,Saturday,59,45,
2021-10-29,Friday,56,53,0.5
2021-10-28,Thursday,57,48,0.51
2021-10-27,Wednesday,56,38,
2021-10-26,Tuesday,57,41,
2021-10-25,Monday,55,47,0.35
2021-10-24,Sunday,51,39,2.26
2021-10-23,Saturday,56,39,
2021-10-22,Friday,56,41,
2021-10-21,Thursday,65,44,
2021-10-20,Wednesday,72,53,
2021-10-19,Tuesday,71,52,
2021-10-18,Monday,72,45,
2021-10-17,Sunday,66,42,
2021-10-16,Saturday,59,44,
2021-10-15,Friday,62,51,0.02
2021-10-14,Thursday,71,57,0.1
2021-10-13,Wednesday,71,53,0.41
2021-10-12,Tuesday,65,56,
2021-10-11,Monday,77,62,0.76
2021-10-10,Sunday,79,70,0.02
2021-10-09,Saturday,80,64,
2021-10-08,Friday,75,62,0.02
2021-10-07,Thursday,75,65,0.63
2021-10-06,Wednesday,68,64,0.03
2021-10-05,Tuesday,67,65,
2021-10-04,Monday,73,64,
2021-10-03,Sunday,76,65,0.14
2021-10-02,Saturday,80,66,
2021-10-01,Friday,85,61,0.02
2021-09-30,Thursday,80,59,
2021-09-29,Wednesday,82,55,
2021-09-28,Tuesday,73,60,
2021-09-27,Monday,87,63,
2021-09-26,Sunday,83,54,
2021-09-25,Saturday,69,50,
2021-09-24,Friday,79,52,0.12
2021-09-23,Thursday,67,51,
2021-09-22,Wednesday,63,56,
2021-09-21,Tuesday,75,60,0.42
2021-09-20,Monday,82,70,0.23
2021-09-19,Sunday,89,64,
2021-09-18,Saturday,77,66,
2021-09-17,Friday,89,64,0.45
2021-09-16,Thursday,82,57,
2021-09-15,Wednesday,79,59,
2021-09-14,Tuesday,86,66,
2021-09-13,Monday,88,68,
2021-09-12,Sunday,87,68,
2021-09-11,Saturday,87,65,
2021-09-10,Friday,80,59,
2021-09-09,Thursday,77,58,
2021-09-08,Wednesday,79,59,
2021-09-07,Tuesday,88,65,
2021-09-06,Monday,82,61,
2021-09-05,Sunday,82,60,
2021-09-04,Saturday,73,63,
2021-09-03,Friday,75,64,0.01
2021-09-02,Thursday,78,62,
2021-09-01,Wednesday,76,63,
2021-08-31,Tuesday,82,66,
2021-08-30,Monday,85,67,
2021-08-29,Sunday,89,73,0.28
2021-08-28,Saturday,92,76,
2021-08-27,Friday,91,73,
2021-08-26,Thursday,90,70,
2021-08-25,Wednesday,94,71,0.39
2021-08-24,Tuesday,95,72,1.91
2021-08-23,Monday,87,67,
2021-08-22,Sunday,83,70,
2021-08-21,Saturday,88,73,0.6
2021-08-20,Friday,91,70,
2021-08-19,Thursday,88,72,
2021-08-18,Wednesday,86,70,
2021-08-17,Tuesday,84,66,
2021-08-16,Monday,80,63,
2021-08-15,Sunday,80,60,
2021-08-14,Saturday,80,62,
2021-08-13,Friday,84,72,
2021-08-12,Thursday,85,72,
2021-08-11,Wednesday,88,72,0.09
2021-08-10,Tuesday,93,70,0.38
2021-08-09,Monday,83,70,0.64
2021-08-08,Sunday,92,71,0.03
2021-08-07,Saturday,89,67,
2021-08-06,Friday,83,66,0.19
2021-08-05,Thursday,87,66,
2021-08-04,Wednesday,85,64,
2021-08-03,Tuesday,83,62,
2021-08-02,Monday,78,60,
2021-08-01,Sunday,76,62,
2021-07-31,Saturday,80,61,
2021-07-30,Friday,73,65,
2021-07-29,Thursday,89,69,
2021-07-28,Wednesday,88,70,0.17
2021-07-27,Tuesday,87,71,0.21
2021-07-26,Monday,94,70,
